Category	Sub Category	Text	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Interests	Conventional	Conventional occupations frequently involve following set procedures and routines. These occupations can include working with data and details more than with ideas. Usually there is a clear line of authority to follow.	people, 0.75	stuff, 0.72	think, 0.72	instead, 0.72	usually, 0.72	including, 0.72	include, 0.72	especially, 0.71	working, 0.71	consider, 0.7	better, 0.7	having, 0.7	actually, 0.7	right, 0.7	details, 0.7	trying, 0.7	different, 0.69	probably, 0.69	getting, 0.69	expect, 0.69	today, 0.69	interesting, 0.68	making, 0.68	likely, 0.68	check, 0.68	start, 0.68	based, 0.68	looking, 0.68	information, 0.68	reason, 0.68
Interests	Realistic	Realistic occupations frequently involve work activities that include practical, hands-on problems and solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of the occupations require working outside, and do not involve a lot of paperwork or working closely with others.	instead, 0.79	working, 0.78	people, 0.78	think, 0.77	stuff, 0.77	trying, 0.76	having, 0.76	especially, 0.76	making, 0.76	actually, 0.76	better, 0.76	getting, 0.75	looking, 0.75	probably, 0.75	right, 0.74	today, 0.73	means, 0.72	taking, 0.72	learn, 0.72	makes, 0.72	understand, 0.72	different, 0.72	thought, 0.72	putting, 0.72	usually, 0.71	business, 0.71	small, 0.71	supposed, 0.71	problems, 0.71	apparently, 0.71
Interests	Investigative	Investigative occupations frequently involve working with ideas, and require an extensive amount of thinking. These occupations can involve searching for facts and figuring out problems mentally.	instead, 0.73	usually, 0.72	thinking, 0.72	consider, 0.71	having, 0.71	trying, 0.71	problems, 0.71	people, 0.71	involve, 0.7	probably, 0.7	working, 0.69	especially, 0.69	understand, 0.69	think, 0.69	likely, 0.68	making, 0.68	actually, 0.68	creating, 0.68	avoid, 0.68	putting, 0.68	easier, 0.68	involved, 0.68	interesting, 0.68	stuff, 0.68	considering, 0.67	getting, 0.67	learn, 0.67	taking, 0.67	knowing, 0.67	possibly, 0.67
Interests	Artistic	Artistic occupations frequently involve working with forms, designs and patterns. They often require self-expression and the work can be done without following a clear set of rules.	working, 0.75	people, 0.74	think, 0.74	instead, 0.73	having, 0.73	actually, 0.73	different, 0.72	making, 0.72	stuff, 0.72	trying, 0.72	especially, 0.71	right, 0.71	today, 0.71	looking, 0.71	getting, 0.71	create, 0.7	better, 0.7	putting, 0.7	change, 0.7	probably, 0.69	taking, 0.69	works, 0.69	thought, 0.69	learn, 0.69	usually, 0.69	makes, 0.69	given, 0.69	reason, 0.69	definitely, 0.69	means, 0.68
Interests	Social	Social occupations frequently involve working with, communicating with, and teaching people. These occupations often involve helping or providing service to others.	working, 0.76	people, 0.75	instead, 0.74	helping, 0.74	having, 0.73	especially, 0.72	making, 0.71	trying, 0.71	learning, 0.7	teaching, 0.7	learn, 0.7	consider, 0.7	provide, 0.7	creating, 0.69	taking, 0.69	putting, 0.69	involved, 0.69	getting, 0.69	business, 0.69	including, 0.69	important, 0.68	understand, 0.68	giving, 0.68	actually, 0.68	avoid, 0.68	students, 0.68	involve, 0.67	talking, 0.67	include, 0.67	keeping, 0.67
Interests	Enterprising	Enterprising occupations frequently involve starting up and carrying out projects. These occupations can involve leading people and making many decisions. Sometimes they require risk taking and often deal with business.	making, 0.77	people, 0.77	instead, 0.77	taking, 0.77	especially, 0.75	having, 0.75	think, 0.74	getting, 0.74	trying, 0.73	consider, 0.73	working, 0.73	business, 0.72	putting, 0.72	probably, 0.72	usually, 0.71	likely, 0.71	starting, 0.71	including, 0.71	actually, 0.71	better, 0.71	start, 0.7	avoid, 0.7	giving, 0.7	learn, 0.7	looking, 0.7	small, 0.7	thinking, 0.7	makes, 0.7	expect, 0.69	problems, 0.69
Work Styles	Dependability	Job requires being reliable, responsible, and dependable, and fulfilling obligations.	reliable, 0.72	fulfilling, 0.69	responsible, 0.67	require, 0.65	requires, 0.65	dependable, 0.65	provide, 0.64	consistent, 0.63	successful, 0.62	determined, 0.62	providing, 0.61	secure, 0.61	ensure, 0.6	willing, 0.6	difficult, 0.6	working, 0.6	practical, 0.6	seeking, 0.59	usually, 0.58	established, 0.58	individuals, 0.58	managing, 0.58	focused, 0.58	approach, 0.57	rewarding, 0.57	understanding, 0.57	paying, 0.57	efficient, 0.57	demanding, 0.57	consider, 0.57
Work Styles	Concern for Others	Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.	especially, 0.73	needed, 0.73	needs, 0.73	right, 0.73	think, 0.72	working, 0.72	person, 0.72	understanding, 0.72	better, 0.72	having, 0.72	people, 0.71	understand, 0.71	trying, 0.71	getting, 0.71	looking, 0.7	actually, 0.7	means, 0.7	advice, 0.7	learn, 0.7	business, 0.7	reason, 0.7	knowing, 0.7	loving, 0.69	important, 0.69	instead, 0.69	experience, 0.68	making, 0.68	probably, 0.68	gotta, 0.68	process, 0.68
Work Styles	Adaptability/Flexibility	Job requires being open to change (positive or negative) and to considerable variety in the workplace.	positive, 0.77	change, 0.76	experience, 0.73	people, 0.73	better, 0.71	different, 0.71	person, 0.71	focus, 0.71	changes, 0.71	working, 0.7	business, 0.7	negative, 0.7	important, 0.7	instead, 0.7	right, 0.69	think, 0.69	means, 0.69	expect, 0.69	matter, 0.69	learn, 0.68	certain, 0.68	today, 0.68	based, 0.68	having, 0.68	success, 0.68	especially, 0.68	trying, 0.68	reason, 0.67	bring, 0.67	thinking, 0.67
Work Styles	Stress Tolerance	Job requires accepting criticism and dealing calmly and effectively with high stress situations.	dealing, 0.74	difficult, 0.72	trying, 0.7	problems, 0.7	instead, 0.7	expect, 0.7	avoid, 0.7	taking, 0.69	people, 0.69	having, 0.69	learn, 0.69	situations, 0.69	usually, 0.69	getting, 0.68	especially, 0.68	understand, 0.68	handle, 0.68	situation, 0.68	given, 0.68	takes, 0.67	approach, 0.67	better, 0.67	experience, 0.67	process, 0.67	think, 0.66	easier, 0.66	despite, 0.66	working, 0.66	manage, 0.66	right, 0.66
